device_type,device_id,timestamp,value
EKG Monitor,ecg_001,26-05-27 11:53:12,89.77
EKG Monitor,ecg_002,26-05-27 11:53:12,109.51
EKG Monitor,ecg_003,26-05-27 11:53:12,33.41
EKG Monitor,ecg_004,26-05-27 11:53:12,109.71
EKG Monitor,ecg_005,26-05-27 11:53:12,46.73
EKG Monitor,ecg_006,26-05-27 11:53:12,6.91
EKG Monitor,ecg_007,26-05-27 11:53:12,148.76
EKG Monitor,ecg_008,26-05-27 11:53:12,61.74
EKG Monitor,ecg_009,26-05-27 11:53:12,144.51
EKG Monitor,ecg_010,26-05-27 11:53:12,139.22
EKG Monitor,ecg_011,26-05-27 11:53:12,74.78
EKG Monitor,ecg_012,26-05-27 11:53:12,113.96
EKG Monitor,ecg_013,26-05-27 11:53:12,38.68
EKG Monitor,ecg_014,26-05-27 11:53:12,83.25
EKG Monitor,ecg_015,26-05-27 11:53:12,41.01
EKG Monitor,ecg_016,26-05-27 11:53:12,3.52
EKG Monitor,ecg_017,26-05-27 11:53:12,91.43
EKG Monitor,ecg_018,26-05-27 11:53:12,105.75
EKG Monitor,ecg_019,26-05-27 11:53:12,66.81
EKG Monitor,ecg_020,26-05-27 11:53:12,130.68
EKG Monitor,ecg_021,26-05-27 11:53:12,145.07
EKG Monitor,ecg_022,26-05-27 11:53:12,33.88
EKG Monitor,ecg_023,26-05-27 11:53:12,54.15
EKG Monitor,ecg_024,26-05-27 11:53:12,124.79
EKG Monitor,ecg_025,26-05-27 11:53:12,111.82
EKG Monitor,ecg_026,26-05-27 11:53:12,114.89
EKG Monitor,ecg_027,26-05-27 11:53:12,30.0
EKG Monitor,ecg_028,26-05-27 11:53:12,116.06
EKG Monitor,ecg_029,26-05-27 11:53:12,43.35
EKG Monitor,ecg_030,26-05-27 11:53:12,127.5
EKG Monitor,ecg_031,26-05-27 11:53:12,148.87
EKG Monitor,ecg_032,26-05-27 11:53:12,55.51
EKG Monitor,ecg_033,26-05-27 11:53:12,139.22
EKG Monitor,ecg_034,26-05-27 11:53:12,0.95
EKG Monitor,ecg_035,26-05-27 11:53:12,17.23
EKG Monitor,ecg_036,26-05-27 11:53:12,124.03
EKG Monitor,ecg_037,26-05-27 11:53:12,12.76
EKG Monitor,ecg_038,26-05-27 11:53:12,4.52
EKG Monitor,ecg_039,26-05-27 11:53:12,9.18
EKG Monitor,ecg_040,26-05-27 11:53:12,26.51
EKG Monitor,ecg_041,26-05-27 11:53:12,93.27
EKG Monitor,ecg_042,26-05-27 11:53:12,133.48
EKG Monitor,ecg_043,26-05-27 11:53:12,137.37
EKG Monitor,ecg_044,26-05-27 11:53:12,12.55
EKG Monitor,ecg_045,26-05-27 11:53:12,51.86
EKG Monitor,ecg_046,26-05-27 11:53:12,72.61
EKG Monitor,ecg_047,26-05-27 11:53:12,9.67
EKG Monitor,ecg_048,26-05-27 11:53:12,70.48
EKG Monitor,ecg_049,26-05-27 11:53:12,32.28
EKG Monitor,ecg_050,26-05-27 11:53:12,101.2
EKG Monitor,ecg_051,26-05-27 11:53:12,67.09
EKG Monitor,ecg_052,26-05-27 11:53:12,31.01
EKG Monitor,ecg_053,26-05-27 11:53:12,112.87
EKG Monitor,ecg_054,26-05-27 11:53:12,58.44
EKG Monitor,ecg_055,26-05-27 11:53:12,72.29
EKG Monitor,ecg_056,26-05-27 11:53:12,87.76
EKG Monitor,ecg_057,26-05-27 11:53:12,10.67
EKG Monitor,ecg_058,26-05-27 11:53:12,101.13
EKG Monitor,ecg_059,26-05-27 11:53:12,88.23
EKG Monitor,ecg_060,26-05-27 11:53:12,90.3
EKG Monitor,ecg_061,26-05-27 11:53:12,87.69
EKG Monitor,ecg_062,26-05-27 11:53:12,141.0
EKG Monitor,ecg_063,26-05-27 11:53:12,63.71
EKG Monitor,ecg_064,26-05-27 11:53:12,51.78
EKG Monitor,ecg_065,26-05-27 11:53:12,83.35
EKG Monitor,ecg_066,26-05-27 11:53:12,51.44
EKG Monitor,ecg_067,26-05-27 11:53:12,44.8
EKG Monitor,ecg_068,26-05-27 11:53:12,140.61
EKG Monitor,ecg_069,26-05-27 11:53:12,79.89
EKG Monitor,ecg_070,26-05-27 11:53:12,2.9
EKG Monitor,ecg_071,26-05-27 11:53:12,21.36
EKG Monitor,ecg_072,26-05-27 11:53:12,54.09
EKG Monitor,ecg_073,26-05-27 11:53:12,80.06
EKG Monitor,ecg_074,26-05-27 11:53:12,97.59
