device_type,device_id,timestamp,value
Pulsmåler,ppg_001,26-05-27 11:53:12,126.77
Pulsmåler,ppg_002,26-05-27 11:53:12,142.72
Pulsmåler,ppg_003,26-05-27 11:53:12,65.19
Pulsmåler,ppg_004,26-05-27 11:53:12,51.95
Pulsmåler,ppg_005,26-05-27 11:53:12,68.15
Pulsmåler,ppg_006,26-05-27 11:53:12,196.85
Pulsmåler,ppg_007,26-05-27 11:53:12,94.64
Pulsmåler,ppg_008,26-05-27 11:53:12,108.57
Pulsmåler,ppg_009,26-05-27 11:53:12,66.19
Pulsmåler,ppg_010,26-05-27 11:53:12,195.51
Pulsmåler,ppg_011,26-05-27 11:53:12,197.18
Pulsmåler,ppg_012,26-05-27 11:53:12,170.05
Pulsmåler,ppg_013,26-05-27 11:53:12,172.99
Pulsmåler,ppg_014,26-05-27 11:53:12,84.66
Pulsmåler,ppg_015,26-05-27 11:53:12,45.09
Pulsmåler,ppg_016,26-05-27 11:53:12,104.34
Pulsmåler,ppg_017,26-05-27 11:53:12,101.51
Pulsmåler,ppg_018,26-05-27 11:53:12,151.04
Pulsmåler,ppg_019,26-05-27 11:53:12,109.29
Pulsmåler,ppg_020,26-05-27 11:53:12,99.22
Pulsmåler,ppg_021,26-05-27 11:53:12,90.51
Pulsmåler,ppg_022,26-05-27 11:53:12,123.69
Pulsmåler,ppg_023,26-05-27 11:53:12,55.54
Pulsmåler,ppg_024,26-05-27 11:53:12,51.26
Pulsmåler,ppg_025,26-05-27 11:53:12,130.01
Pulsmåler,ppg_026,26-05-27 11:53:12,171.2
Pulsmåler,ppg_027,26-05-27 11:53:12,97.3
Pulsmåler,ppg_028,26-05-27 11:53:12,97.04
Pulsmåler,ppg_029,26-05-27 11:53:12,126.03
Pulsmåler,ppg_030,26-05-27 11:53:12,156.97
Pulsmåler,ppg_031,26-05-27 11:53:12,41.6
Pulsmåler,ppg_032,26-05-27 11:53:12,75.94
Pulsmåler,ppg_033,26-05-27 11:53:12,150.97
Pulsmåler,ppg_034,26-05-27 11:53:12,117.41
Pulsmåler,ppg_035,26-05-27 11:53:12,114.78
Pulsmåler,ppg_036,26-05-27 11:53:12,101.5
Pulsmåler,ppg_037,26-05-27 11:53:12,164.88
Pulsmåler,ppg_038,26-05-27 11:53:12,104.23
Pulsmåler,ppg_039,26-05-27 11:53:12,50.11
Pulsmåler,ppg_040,26-05-27 11:53:12,82.42
Pulsmåler,ppg_041,26-05-27 11:53:12,60.69
Pulsmåler,ppg_042,26-05-27 11:53:12,83.76
Pulsmåler,ppg_043,26-05-27 11:53:12,63.95
Pulsmåler,ppg_044,26-05-27 11:53:12,50.77
Pulsmåler,ppg_045,26-05-27 11:53:12,182.38
Pulsmåler,ppg_046,26-05-27 11:53:12,62.75
Pulsmåler,ppg_047,26-05-27 11:53:12,139.46
Pulsmåler,ppg_048,26-05-27 11:53:12,90.03
Pulsmåler,ppg_049,26-05-27 11:53:12,139.87
Pulsmåler,ppg_050,26-05-27 11:53:12,192.42
Pulsmåler,ppg_051,26-05-27 11:53:12,193.91
Pulsmåler,ppg_052,26-05-27 11:53:12,63.58
Pulsmåler,ppg_053,26-05-27 11:53:12,75.29
Pulsmåler,ppg_054,26-05-27 11:53:12,131.1
Pulsmåler,ppg_055,26-05-27 11:53:12,109.66
Pulsmåler,ppg_056,26-05-27 11:53:12,110.97
Pulsmåler,ppg_057,26-05-27 11:53:12,46.81
Pulsmåler,ppg_058,26-05-27 11:53:12,90.18
Pulsmåler,ppg_059,26-05-27 11:53:12,80.75
Pulsmåler,ppg_060,26-05-27 11:53:12,123.26
Pulsmåler,ppg_061,26-05-27 11:53:12,193.33
Pulsmåler,ppg_062,26-05-27 11:53:12,92.63
Pulsmåler,ppg_063,26-05-27 11:53:12,57.23
Pulsmåler,ppg_064,26-05-27 11:53:12,51.98
Pulsmåler,ppg_065,26-05-27 11:53:12,182.24
Pulsmåler,ppg_066,26-05-27 11:53:12,103.02
Pulsmåler,ppg_067,26-05-27 11:53:12,75.88
Pulsmåler,ppg_068,26-05-27 11:53:12,185.73
Pulsmåler,ppg_069,26-05-27 11:53:12,99.96
Pulsmåler,ppg_070,26-05-27 11:53:12,121.6
Pulsmåler,ppg_071,26-05-27 11:53:12,113.43
Pulsmåler,ppg_072,26-05-27 11:53:12,44.88
Pulsmåler,ppg_073,26-05-27 11:53:12,157.66
Pulsmåler,ppg_074,26-05-27 11:53:12,188.4
Pulsmåler,ppg_075,26-05-27 11:53:12,70.73
Pulsmåler,ppg_076,26-05-27 11:53:12,135.88
Pulsmåler,ppg_077,26-05-27 11:53:12,40.75
Pulsmåler,ppg_078,26-05-27 11:53:12,57.25
Pulsmåler,ppg_079,26-05-27 11:53:12,195.6
Pulsmåler,ppg_080,26-05-27 11:53:12,103.01
Pulsmåler,ppg_081,26-05-27 11:53:12,75.89
Pulsmåler,ppg_082,26-05-27 11:53:12,185.3
Pulsmåler,ppg_083,26-05-27 11:53:12,42.44
Pulsmåler,ppg_084,26-05-27 11:53:12,134.85
Pulsmåler,ppg_085,26-05-27 11:53:12,197.52
Pulsmåler,ppg_086,26-05-27 11:53:12,87.99
Pulsmåler,ppg_087,26-05-27 11:53:12,40.76
Pulsmåler,ppg_088,26-05-27 11:53:12,109.31
Pulsmåler,ppg_089,26-05-27 11:53:12,189.22
Pulsmåler,ppg_090,26-05-27 11:53:12,48.03
Pulsmåler,ppg_091,26-05-27 11:53:12,66.3
Pulsmåler,ppg_092,26-05-27 11:53:12,158.0
Pulsmåler,ppg_093,26-05-27 11:53:12,99.42
Pulsmåler,ppg_094,26-05-27 11:53:12,43.76
Pulsmåler,ppg_095,26-05-27 11:53:12,45.92
Pulsmåler,ppg_096,26-05-27 11:53:12,100.28
Pulsmåler,ppg_097,26-05-27 11:53:12,196.9
Pulsmåler,ppg_098,26-05-27 11:53:12,45.53
Pulsmåler,ppg_099,26-05-27 11:53:12,91.95
Pulsmåler,ppg_100,26-05-27 11:53:12,69.59
Pulsmåler,ppg_101,26-05-27 11:53:12,163.4
Pulsmåler,ppg_102,26-05-27 11:53:12,133.49
Pulsmåler,ppg_103,26-05-27 11:53:12,45.5
Pulsmåler,ppg_104,26-05-27 11:53:12,160.59
Pulsmåler,ppg_105,26-05-27 11:53:12,73.6
Pulsmåler,ppg_106,26-05-27 11:53:12,178.13
Pulsmåler,ppg_107,26-05-27 11:53:12,84.15
Pulsmåler,ppg_108,26-05-27 11:53:12,189.99
Pulsmåler,ppg_109,26-05-27 11:53:12,179.47
Pulsmåler,ppg_110,26-05-27 11:53:12,142.36
Pulsmåler,ppg_111,26-05-27 11:53:12,135.91
Pulsmåler,ppg_112,26-05-27 11:53:12,134.78
Pulsmåler,ppg_113,26-05-27 11:53:12,63.23
Pulsmåler,ppg_114,26-05-27 11:53:12,162.35
Pulsmåler,ppg_115,26-05-27 11:53:12,80.19
Pulsmåler,ppg_116,26-05-27 11:53:12,179.13
Pulsmåler,ppg_117,26-05-27 11:53:12,179.28
Pulsmåler,ppg_118,26-05-27 11:53:12,42.44
Pulsmåler,ppg_119,26-05-27 11:53:12,179.02
Pulsmåler,ppg_120,26-05-27 11:53:12,158.1
Pulsmåler,ppg_121,26-05-27 11:53:12,101.8
Pulsmåler,ppg_122,26-05-27 11:53:12,135.42
Pulsmåler,ppg_123,26-05-27 11:53:12,194.57
Pulsmåler,ppg_124,26-05-27 11:53:12,104.53
Pulsmåler,ppg_125,26-05-27 11:53:12,160.71
Pulsmåler,ppg_126,26-05-27 11:53:12,142.5
Pulsmåler,ppg_127,26-05-27 11:53:12,88.13
Pulsmåler,ppg_128,26-05-27 11:53:12,119.74
Pulsmåler,ppg_129,26-05-27 11:53:12,79.0
Pulsmåler,ppg_130,26-05-27 11:53:12,157.33
Pulsmåler,ppg_131,26-05-27 11:53:12,72.08
Pulsmåler,ppg_132,26-05-27 11:53:12,73.4
Pulsmåler,ppg_133,26-05-27 11:53:12,174.06
Pulsmåler,ppg_134,26-05-27 11:53:12,199.34
Pulsmåler,ppg_135,26-05-27 11:53:12,69.26
Pulsmåler,ppg_136,26-05-27 11:53:12,109.81
Pulsmåler,ppg_137,26-05-27 11:53:12,193.96
Pulsmåler,ppg_138,26-05-27 11:53:12,197.54
Pulsmåler,ppg_139,26-05-27 11:53:12,90.71
Pulsmåler,ppg_140,26-05-27 11:53:12,189.71
Pulsmåler,ppg_141,26-05-27 11:53:12,86.55
Pulsmåler,ppg_142,26-05-27 11:53:12,175.61
Pulsmåler,ppg_143,26-05-27 11:53:12,66.23
Pulsmåler,ppg_144,26-05-27 11:53:12,145.26
Pulsmåler,ppg_145,26-05-27 11:53:12,160.17
Pulsmåler,ppg_146,26-05-27 11:53:12,110.94
Pulsmåler,ppg_147,26-05-27 11:53:12,151.78
Pulsmåler,ppg_148,26-05-27 11:53:12,161.18
Pulsmåler,ppg_149,26-05-27 11:53:12,167.69
Pulsmåler,ppg_150,26-05-27 11:53:12,46.24
Pulsmåler,ppg_151,26-05-27 11:53:12,112.43
Pulsmåler,ppg_152,26-05-27 11:53:12,44.26
Pulsmåler,ppg_153,26-05-27 11:53:12,125.52
Pulsmåler,ppg_154,26-05-27 11:53:12,154.47
Pulsmåler,ppg_155,26-05-27 11:53:12,129.13
Pulsmåler,ppg_156,26-05-27 11:53:12,109.71
