Pulse Width_c880,Pulse Width_c660,Pulse Width_b880,Pulse Width_b660
3.757000000000000455e+02,3.658000000000000114e+02,3.460000000000000000e+02,3.460000000000000000e+02
3.854999999999998863e+02,4.052999999999999545e+02,3.856000000000000227e+02,3.558000000000000682e+02
3.755999999999999091e+02,3.755999999999999091e+02,3.559000000000000909e+02,3.657999999999999545e+02
3.656999999999998181e+02,3.657000000000002728e+02,3.460000000000000000e+02,3.756999999999998181e+02
3.559000000000000909e+02,3.262000000000002728e+02,3.261999999999998181e+02,3.559000000000000909e+02
3.263000000000001819e+02,3.261999999999998181e+02,3.262000000000002728e+02,3.559000000000000909e+02
3.362000000000002728e+02,3.360999999999999091e+02,3.063999999999996362e+02,2.867000000000002728e+02
3.163000000000001819e+02,3.063999999999996362e+02,2.866999999999998181e+02,9.900000000000545697e+00
3.162999999999992724e+02,3.065000000000000000e+02,2.966000000000003638e+02,2.075999999999994543e+02
3.263000000000001819e+02,3.261999999999998181e+02,2.965000000000000000e+02,4.939999999999963620e+01
3.558999999999996362e+02,3.460000000000000000e+02,3.460000000000000000e+02,2.960000000000036380e+01
3.658000000000001819e+02,3.855000000000000000e+02,3.460000000000000000e+02,1.878000000000001819e+02
3.756999999999998181e+02,3.953999999999996362e+02,3.558999999999996362e+02,1.186000000000003638e+02
3.756000000000003638e+02,3.856000000000003638e+02,3.559000000000005457e+02,2.866999999999998181e+02
3.855000000000000000e+02,3.855000000000000000e+02,3.460000000000000000e+02,3.558999999999996362e+02
3.757000000000007276e+02,3.755999999999985448e+02,3.460000000000000000e+02,3.558999999999996362e+02
3.657000000000007276e+02,3.465000000000000000e+02,3.562000000000007276e+02,3.460000000000000000e+02
3.760000000000000000e+02,3.860000000000000000e+02,3.560000000000000000e+02,3.855000000000000000e+02
3.950000000000000000e+02,3.760000000000000000e+02,3.660000000000000000e+02,3.558999999999996362e+02
3.850000000000000000e+02,3.850000000000000000e+02,3.560000000000000000e+02,3.361000000000003638e+02
3.860000000000000000e+02,4.060000000000000000e+02,3.650000000000000000e+02,3.361000000000003638e+02
3.950000000000000000e+02,3.850000000000000000e+02,3.560000000000000000e+02,3.560000000000000000e+02
3.750000000000000000e+02,3.750000000000000000e+02,3.460000000000000000e+02,3.750000000000000000e+02
3.360000000000000000e+02,3.260000000000000000e+02,3.260000000000000000e+02,3.460000000000000000e+02
3.270000000000000000e+02,3.270000000000000000e+02,3.160000000000000000e+02,1.000000000000000000e+01
3.360000000000000000e+02,3.460000000000000000e+02,2.870000000000000000e+02,3.660000000000000000e+02
3.360000000000000000e+02,3.460000000000000000e+02,3.360000000000000000e+02,2.000000000000000000e+01
3.950000000000000000e+02,4.060000000000000000e+02,3.950000000000000000e+02,3.560000000000000000e+02
4.640000000000000000e+02,4.640000000000000000e+02,4.350000000000000000e+02,3.660000000000000000e+02
4.450000000000000000e+02,4.450000000000000000e+02,4.350000000000000000e+02,3.460000000000000000e+02
4.250000000000000000e+02,4.350000000000000000e+02,4.060000000000000000e+02,2.170000000000000000e+02
4.150000000000000000e+02,4.260000000000000000e+02,3.750000000000000000e+02,4.000000000000000000e+01
3.660000000000000000e+02,3.550000000000000000e+02,3.460000000000000000e+02,3.900000000000000000e+01
3.360000000000000000e+02,3.260000000000000000e+02,3.070000000000000000e+02,2.860000000000000000e+02
3.160000000000000000e+02,3.060000000000000000e+02,2.670000000000000000e+02,3.360000000000000000e+02
3.170000000000000000e+02,3.260000000000000000e+02,2.870000000000000000e+02,3.860000000000000000e+02
3.360000000000000000e+02,3.650000000000000000e+02,3.260000000000000000e+02,4.540000000000000000e+02
3.460000000000000000e+02,3.660000000000000000e+02,3.560000000000000000e+02,4.450000000000000000e+02
3.760000000000000000e+02,3.750000000000000000e+02,3.560000000000000000e+02,4.440000000000000000e+02
3.860000000000000000e+02,3.860000000000000000e+02,3.650000000000000000e+02,3.760000000000000000e+02
3.850000000000000000e+02,3.860000000000000000e+02,3.460000000000000000e+02,3.560000000000000000e+02
3.360000000000000000e+02,3.260000000000000000e+02,3.070000000000000000e+02,2.080000000000000000e+02
3.060000000000000000e+02,2.960000000000000000e+02,2.870000000000000000e+02,9.900000000000000000e+01
3.160000000000000000e+02,3.160000000000000000e+02,3.060000000000000000e+02,1.900000000000000000e+01
3.260000000000000000e+02,3.370000000000000000e+02,3.060000000000000000e+02,2.180000000000000000e+02
3.550000000000000000e+02,3.660000000000000000e+02,3.260000000000000000e+02,9.000000000000000000e+00
3.370000000000000000e+02,3.660000000000000000e+02,3.560000000000000000e+02,2.870000000000000000e+02
3.660000000000000000e+02,3.760000000000000000e+02,3.170000000000000000e+02,3.260000000000000000e+02
3.750000000000000000e+02,3.960000000000000000e+02,4.050000000000000000e+02,3.460000000000000000e+02
